label	text_a	text_b
0	什么时候能够看房呢？	你这边什么时候过来看，我要提前约下房东
0	买那个二手装修过的有税么	给您推荐个港区非公寓，位置在沃金附近
0	房子在小区哪个位置	可以来看的
0	明天还需要看一下房子哦	好的呀
0	什么时候能够看房呢？	我发给你
1	460那套最低多少钱？	450
1	什么时候能够看房呢？	需要提前预约
1	首付多少	两成
0	好久满2年呢	如果读们浮躁
0	户型	您考虑中户嘛
0	这是读啥学校啊	您是考虑孩子读书吗？
0	意思业主贷款买的房子吗	嗯
1	我想要大概了解一下这个房子	周围有九六广场，第一八佰伴
0	那时也看看	好的
0	南院？	我可以多带您看一下。?
0	南北通透么	这套
1	五一能看房吗	您想几号看，提前点约，有的房主需要提前预约
0	家具家电全带？能讲价吗？	具体房和家具家电没谈过，说的都是房
0	什么时候能够看房呢？	。。。。。
0	国展六楼的最低多少钱能卖	业主看好房子了5月份着急用钱
1	大型商场什么的	一层二层商铺，华贸城7万平商圈，2088平果蔬好，500米
1	税费要十几万?	不会，这个是按网签价来算的呀
0	明天上午能看吗？当面聊	还有一个客户，明天我跟业主去见面去，也是460万
0	请问首付和贷款是多少？	房子没有问题，业主换房出售
0	明天能看吗	几点
0	您好，我正在看家悦花园的房子	我带您vr看一套
0	你把那些你能看的靠谱的弄一起看	顶层
0	这个价钱包括家电的嘛	包括
1	什么装修？	装修的话，居家装修，就是家里面东西比较多
0	对口中学有哪些呢？	您看挂学位的房子是吧
0	能看房吗	你留个联系方式，约好我联系您
0	你实体看过觉得怎么样？	稍微有点影响
0	这个小区的周边配套是什么一个情况呀？	好的，请问您的微信号是多少？
0	这个龙湖带装修吗	大哥您主要是想要哪个片区的房子，您说一下需求，我能快速帮您匹配合适您的楼盘
0	价格还有空间不？	没有照片
0	19楼税费多少钱？	先看看房子吧
0	看看呢	这套房子在南江路666号，是温江区的
1	这套房子下午可以看吗	可以看，有钥匙的
0	小区配套的小学和初中是？	就后面小区有一个
0	能看吗？	您贵姓？
0	有产权证吗？	房子是电梯房
0	哦哦毛柸吗	好的??
0	有毛坯吗	你想要个多少钱的？
0	这是2期的吗	啥样的
0	这个房子能看么	您可以点击查看完整的户型报告
0	麻烦带看一下这套房子	好的
0	什么时候可以去看一下？	可以
0	采光怎么样啊，有没有遮挡	好的
1	周边配套齐全一些	您是要看房吗？
1	那天你帮我算的那套房子.可以看看吗	您什么时候过来
1	这套房源价格还有优惠空间么？	价格能谈
1	想问问这套房	对口学校是三泉学校
0	房本满几年？	只要这个小区的吗 
0	请问首付和贷款是多少？	您是首套房嘛
0	不能贷款是吧	好的 你这边什么时候有时间
1	武清有好的初高中吗	五中八中光明
0	今天能看房吗	才刚起来
0	价格能便宜不	好久来看呢
0	挡光程度如何？ 我想看看这个和21楼的东山那个。	您要多少楼的
0	那前面光线怎么样	不影响啊
0	😂走不了路了 明天忍忍可以看两套	多注意休息
0	这是哪	哪个是哪？
0	您好，我想咨询金河谷四期小区	加您了
0	房子能看不	可以现金，但是这次建议您开个大点的车来送
1	你看一下能不能带看	我跟房东约一下
1	这个房子可以看吗？	可以看的
0	几区？	这个就是一区的
1	契税多少	您可以先看房子，房子看好再研究契税
0	您好，请问这个房子周边有哪些学校？	链家小廖很高兴认识
1	小学是哪家学校？	对应的小学是步步高小学
0	我这个房子你给我降降价吧！125万降到	您明天有时间吗我带您看看房啊
0	那能看房吗	所以也没有出价的
0	您好，请问这套房子的底价是多少？	你好
1	你问问白天能看不	想几点
0	是边户吗？	不是
0	有增值税吗？	加您了亲
1	什么时候满二年呢	明年6月满2
0	您好，请问周边配套怎么样	早安?
0	什么时候满二	晚
0	装修就是VR看到的这个样子吗	可以。
0	对口什么小学	您好
0	此房是什么情况？	550万
0	您好，请问这个房子周边有哪些学校	就是小区对面，隔了一个锦江，现在桥马上通了，也就10分钟步行到学校
1	中学呢	赤壁路，五十中
1	你好，这套嘉园下午可以约看吗。	您这边几点方便
0	哦，清水？	房主没办
0	你说的格林小高是哪个？能一起看一下吗	好的👌，那我们3点格林玫瑰湾南门见。
0	您好，我想咨询香山新村西北街坊小区	嗯嗯
0	综合考虑的 莘城还可以配套也不错	您首套二套
0	这套房源价格还有优惠空间吗？	您好
0	9号楼会不会堵采光	你要不先看看房子吧，这个价格确实便宜着呢
0	带我去看看，我想出去看看其他的世界	您能说一下对房屋具体需求吗？我好给您推荐一下其他性价比高房源
1	在哪	北五环
0	您好，请问这个户型有啥优缺点	这这套房子在26楼
0	这里面装修怎么样？你们有没有去看过	你方便把手机号给我吗？
0	顶楼是什么户型？	这个2号楼的
0	不是分为a,b区的吗	您住在哪里
0	明年什么时候满两年	价格没有明显上涨
0	学校情况	大兴
0	北区的房子是不是时间久了	您贵姓？
0	您好，请问这个房子周边有哪些学校？	您可以考虑一居室吗
0	有税吗	可以看房
0	周边有啥	嗯嗯，我们这边房子体量都不大，并且主要以两房为主。
0	现在看房是不是都不方便？	有看房的
0	有增值税吗	127万11楼的是不含土出的
1	行，明天都看看	晚点儿我约下业主的时间
1	五号南街坊吗	是的
0	这个是房本吗	是的
0	是一期的对吗？	你之前有看过这边的别墅吗？
0	陶然亭小学呢	八中附小，福州馆小学
1	这是07户型吗？	是的
0	上次你给我推荐的龚路新城的两套房子明天可以看吗	这个房子有高额抵押
0	最低多少钱成交	谁和您说的210
1	在吗，我想看一下房	我可以线上带您看vr
0	1150那个能谈到1000吗？	合生国际最近成交的是一套3楼的1080万，
0	可以贷款吗	您考虑儿童医院附近的
1	便宜多少啊？480会卖吗？	480估计卖不了
0	看房方便吗	您好，您之前咨询的滨江华城D区小区有新上房源，不知道您是否感兴趣？
1	什么时候满二	证办的完。
0	小学是什么学校？	采沐
1	西区2楼呢，能谈到290以内吗？	不好谈
0	我想看下房子	经开？
0	这套是几号院的房子？	不客气
0	谈价格不是你们中介先谈吗	您这边要谈多少？
0	您好，请问这个房子周边有哪些学校	新房您只需要承担您自己的契税
0	那就税少吧	最近不方便嘛？
0	什么时候可以看房	您电话多少
0	能看吧	你好
1	公积金能用吗	嘉兴只接受省内公金积
1	贷款可以么	能
1	这种户型是南北通吗	不是的
0	晚上可以看房子不？可以的话我吃了饭来看看	您这边方便加个微信么？我给您发信息
1	有税之类的吗	多一个增值税
0	这套业主最低多少能谈	业主是换房，一直跟我这边看房呢，也有看的合适的
0	是精装的吗	前面是小河，也没遮挡。
0	B区吗	3楼
0	可以贷款吗？	是的
0	您好，请问这个房子周边有哪些学校？	PHONE
0	满几年了	离地铁站650米
1	是两套都可以看吗	可以的，我直接在小区门口等您~
0	你就说最低多钱，可以的话可以直接定	对的，
0	拿不着房产证？	这个事业主的的问题，既然业主想卖，肯定就是还上
0	你知道蓝田新建的那个盘吗	天鹅湖东区有一套房子，两室的，然后业主底价55万。
0	顶楼，有税吗？	咱们看看房子，然后再和房主谈一谈价
0	对口什么小学	光线肯定比楼层高的差的
0	你先告诉我一期还是二期	本来价格358万
0	现在可以看房吗	和苑2315号
1	哦！现在能去看嘛	得给业主联系下
0	这套房子有那些税费	这个也可以在沟通
1	这两套约个时间去看看	这套今天不能看哦
0	看房方便吗	你好
0	家电？	我这会在带看，方便的话您留个电话，我这边完了联系您，电话里说的可以更清楚一些，我是房子的维护人，对这个小区以及周边社区了解的比较全面，应该可以帮您找到您心满意足的房子。
0	可以公积金贷款的	滨江小学，阳光小学，曹娥幼儿园等等
0	契税几个点？	好的
0	这是特殊户型吗	有一些是在我们内网看得到的
1	周边咋样	东门出去就是学校，特别方便。
0	您好，我想咨询#湖光路#小区	因为这个我有时没办法及时回
1	我想来看一下	这3套可以看
0	几楼采光怎么样	你可以现场来看看，反正还是不错的，性价比很高
1	能谈到多少	这个要跟业主具体谈了
0	您好，这个小区价格很高呀，周边有什么配套或者优势吗	小区一共7764户超大型小区
0	您好，请问这个房子周边有哪些学校？	考虑看看嘛
0	这在南区还是北区	你首套还是二套
0	这周六周日看房方便吗	好的
0	税费大概多少	中介费2个点
0	这套今天下午能看房吗	这套房子在1层的
0	是老校区？	那边均价都在16000左右
0	您好，我想咨询恒大国香山小区	三房起
1	初中还是小学	小学
1	您好，请问这个房子周边有哪些学校	房子旁边有苗儿石小学，鸿恩寺实验小学，中学
1	这套什么情况呢	产证满五年不唯一
0	您好，我正在看上大阳光乾宁园小区	我上次发您的，您编辑一下发我
0	一期还是二期嘛？	朝小区里面
1	现在可以看啊	有钥匙的
0	能贷款吗？	售楼处现在都是2。3 顶楼这样，户型也不好了，
0	这个是几期的？？	留个电电话里说
0	什么时候能够看房呢？	您好
0	这房子方便看吗	在售
1	这套价格能谈吗？	合适了你出个价我在去沟通
0	可以贷公积金吗	可以留个电话吗？我们录入，我不给你打电话的
0	这小区周边没有啥配套吧	对对 公积金3.25
1	靠马路吗？这么便宜？？感觉比其他的都便宜	但不靠
0	您好，请问这个房子周边有哪些学校？	您家孩子多大呀？
0	便宜多少了	现在
1	这个房子可以看吗	可以看
0	毛坯么	房子还没看他问确定要买的吗？
0	这个房产证是有的吗？	对
0	什么时候能够看房呢？	可以的
0	家具装修从图片上看质量不行，是专门装修卖房的吗	也是双证齐全，带车位一起卖
0	啥时候方便看下房么	万
0	您好，我想咨询郡望花园南区小区	方便的话明天可以去你房子那看一下最终根据房子位置户型以及装修可以给你一个合适的报价，这样也有利于你房子成交
0	   契税是几个点，赠与的话	太公世家可以吗
0	嗯，还是要去看看	毛坯那个楼层位置都不错，两居肯定比小三居舒适。1303那套是满两年，比较适合家庭人员多，功能性强，就是紧凑些。
0	是不是有这个户型的啊	您是想买这个户型是吗
1	是房东不肯降低价格吗	有空间的呀
0	这个房子是税高是吗	没有耶
0	初中对口哪些啊	十三分
1	什么时候能够看房呢？	房子是业主自住的，看房方便，一般都有老人在家的，
0	这房子采光好吗	朝南  南北通风
0	不知道西区11楼可以谈多少下来	您说的价格基本上卖不了
0	位置不靠马路吧？下午三点左右	131号
0	带家具？	这个是业主自住的   有时间方便可以带您去看看
0	在哪里	你好
0	这是在哪里	恒大文旅城
0	您好，我正在看广阳城的房子	适合全款，小区17年的房子，有电梯，多数一梯两户，距离地铁近，三甲医院楼已经快盖好了，地铁后两站地
0	配合贷款吗	厢房
0	税费大概多少	业主实收，费用客户出，赎楼款可以协商
0	您好，请问这个户型有啥优缺点	您这边理想的房子是怎样的呢，我给您推荐一下
0	这个房子在哪里嘛	老师您好
1	可以去看吗	我们有钥匙可以看
0	税费几多	我带您看一下
1	这套房子能看么	能看，有钥匙
0	是清水还是装修的	没有展示在外网
0	房子多少楼哦 采光好不好	小区也是这边环境比较好的。容积率低，人车分流，总楼层比周边楼盘都要低。
0	光线遮挡严重吗	还有几套比较优质的3房，总价在300万以内的，方便的时候您可以添加我一个微信PHONE，我再给您详细的介绍一下，抽空的时候您可以一起过来看一下。
0	现在的低价是多少	您微信号多少我给您发微信
0	这是哪里的房子	如果没有高的税费，这个价格的一居室都已经卖了
0	您好，我想了解一下这套房子  https://shangye.ke.com/tj/sp/buy/detail/1100245626	嗯
0	10楼那个房子价格还有没有少	每套房子情况不一样呀
0	这个靠高铁或者马路吗	刚在接电话
0	能看嘛？	好的😄
1	能看吧	可以
0	配套好一些	后面发的这个小区是13年小区，环境也很不错。
0	吵的那个马路	有点
0	几期	好的??
0	这确实够诚意了	是我们自己受限了
0	中学呢？	您是想看保利的房子嘛
0	在什么位置	安埠南区 4楼东西 首付13万 使用46米 无大税
0	这房子支持公积金贷款吗？	最近价格比较平稳，有些业主价格已经上调了。我个人觉得降价的可能行很小。
0	满几年？	私产的
0	不是降了一万吗	一万之前降的多
1	那个房子上午能看嘛，	可以看的，看房很方便，
1	不影响第二套公积金贷款嘛	如果要用第二次公积金的话，第一次的公积金贷款必须还掉
0	那要交多少税啊？	方便发给你 
0	还有电梯房跟这儿配套差不多比较好的嘛？	这几套看房都方便？
1	您好，请问这个房子的首付、税费和贷款是怎样的？	首套三成
0	有本吗	高铁附近的房子您考虑吗？
0	有没有带家具性价比可以的	这套房子是万科紫悦湾的一套洋房
0	2楼左右的单价怎么样？	首套90平以内是1%，90平以上是1.5%
1	方便看房吗	提前联系就可以看
0	所以问你这个是几期的	物业管理的也不一样
0	中华新村单开间看房方便么？	我网上看不明白
0	您好，我正在看金海花园的房子	这里有套小高层的的三房
0	房子在几号院啊？	您是想了解此房吗
1	您好，请问这个房子周边有哪些学校？	读大雁小学
1	您好，请问这个房子周边有哪些学校？	观塘中学
0	这个带不带家具家电的	106万的
0	税费如何	规划跟配套各方面都比二手房好
1	这套房源价格还有优惠空间么？	价格可以谈
0	什么时候能够看房呢？	我给你发VR看房吧
1	什么时候能够看房呢？	看房提前预约就可以了
0	好我很了解这边孩子陪读买一套，这个你问房东75万卖不	我不在那边
0	这套房源价格还有优惠空间吗？	有的
0	三期？	?性价比很高的，是80幢
0	这个450左右能不能谈下来	您好，为您查询到第三区即将上架的2室房源共有8套。报价356万-520万，每套房源我都可以为您介绍楼层、税费、户型等，请问您具体想了解哪些信息？
1	哪个学区房啊	实验跟永铭
0	我了解了一阵子，准备今年换大房子呢	可以来看看?
0	有证吗	这房子新上的，我打电话跟业主确认一下
0	给有增值税？	哦哦哦，那你比较了解
1	请问现在方便看房吗	方便的
0	那个啥时候满二	这个小区目前基本上满二的都没有。
0	可以一起看	 196的今天看不了
1	啥时候满两年	快了  但是房子这业主  不愿意等两年过户
0	可以看下吗	有兴趣看下吗
0	房子现在能看吗	您现在在哪
0	户型我看不怎么样	新房您考虑吗
0	房子满几年了	15楼
0	您好，请问这个户型有啥优缺点	您是考虑这套房子吗？
1	周边有学校，在省人民医院和郑州市第一人民医院中间，考虑	好的
1	附近没什么好学校是吗	北新街小学和九中
0	具体情况是怎么样？	问了
1	多久满二呢	满二还早
0	不冷	来了。
1	房子可以看吗？	同户型可以看
0	现在可以看吗	那我把这几个房子给你发微信上，你看一下
0	可以明天帮我问一下么？	好的👌
1	哪个学区	新桥中学，新桥幼儿园
0	装修就是VR看到的这个样子吗	要不您留个联系方式，看您什么时候有空。我带您看看房子?
1	可以看看吗	可以的
1	房子满几年了	满二
0	这种户型是南北通吗	嗯嗯
0	房费和税费是多少？	这是每个人都在关心 但是现在不能给您答案的一个问题
0	我看了一下VR，靠近西南路哈，但也没太大关系，没有那么完美的房子，到时候跟房主再讲讲价	在
0	可以谈到多少呢	视野无敌开阔
1	这个房子下降的空间有多大	空间不会特别大
0	价格有优惠不	这边还考虑吗
0	税金	您买的话大概想贷多少呢
1	这个价格还能谈吗	可以谈，
0	这个房子在哪？	这个是青白江的房子哈
0	你好，周末有人看房吗	这几天天气没那么好，暂时没有客户看房😓
0	还能优惠吗	有个朝南的，之前租5000
1	68万能研究吗	学区房议价空间没有那么大，估计也就能研究个1万左右吧  可能还得看贷款全款
0	您好，请问这个房子周边有哪些学校？	只是听说
1	房子方便看吗	得联系业主
0	有房产证吗	这套是公寓性质的，不能
1	哪里啊	潭村那边的
0	看房子吧	400万左右
1	我想看一下这套房子	您什么时候有时间我这面儿约一下房主
0	能公积金吗？	可以
0	这套房源价格还有优惠空间么？	您好
0	这个业主底价是多少钱？	不好说啊。只能是到时候帮您争了
0	房子在几号院啊？	嗯嗯
0	这套房源价格还有优惠空间吗？	你好
0	便宜多少了	530万
0	明天上午可以看吗	好的
0	这个最低多少钱	业主诚心卖
1	这套现在可以看吗	要提前预约哦
0	这个房子听说是满四的	业主补完差价就可以交易
0	这套采光如何？	因为对面是墙体
0	这个房子咋样	之前拍照片的时候是没有住人的
1	那边目前居住还是缺点配套吧	龙湖的 一小块 
0	可以带看下吗	可以😊稍等
1	望马路边的吗	看马路的哟
0	挡光吗	这个户型现在这个是最便宜，就是楼层低点，还有个132平190万的17楼，
0	过两年了吗	价格最低了
0	初中呢	一小是比较好的
0	能看吗？	不高了
0	你不是说有装修好的可以看一下吗	嗯，我也给您了解一下吧
1	靠路么	靠中间
0	全款？	不过这个价格确实优惠，哪怕作为顶楼来说?
0	周边有学校，在省人民医院和郑州市第一人民医院中间，考虑	楼层在1楼到四楼之间可以吧
0	靠哪边，黄河哪边不	这套房子在33楼，总楼层38层
1	附近商业配套咧	周边的的商业配套非常齐全，有盒马先生，欧尚，凯德广场，宜居家居，迪卡侬，富森美家居1，2，3，苏宁广场，永辉超市，凯德天府。
0	家具都打包么	意思就是蛮高级的
0	临街？	台北湾分为两个区
1	还能再低么	价格只能谈了，目前这套房子价格最合适
0	价格还能谈不	挺好的
0	可以贷款吗	原值125万
0	那这种情况能买吗	你没您这边方便加您一个微信么
1	有学校么 附近？	中学77中
0	就是配套和发展这方面	这间房子业主买下来自己住没有超过两个星期
1	这是哪里的房子	青年湖东里的房子
0	是房东不肯降低价格吗	是的 华东花苑小区环境还可以，房型也比较好的
1	能现场看了吗	这个房子租户在东北还没回北京
0	88万能讲到嘛	😁
0	你什么时候有空我要看房子	欠收拾
0	400万能卖吗	不行，上次有客户出422都没签
0	有降价空间么	最近新房成交量大
0	你们中介费最低多少	您好，可方便留个联系方式
0	现在约了几套能看的	你们几个人呢
0	您好，请问这个房子周边有哪些学校？	好的
1	那能看吗？	要不我们用VR看一下房子
1	哪天方便去看看	我都方便
0	带家具吗	房主现在在外地基本上能不动的都不动了
1	装修怎么样	这个是业主自住的精光修。
0	全款嘛	所以啊，我沟通了好久
1	您好，请问这个户型有啥优缺点	优点的话，3房2卫很实用，缺点就是北面房间暗了点
0	房主报价最低多少？	您把我微信都删了
1	能看吗	能看
0	最好周围配套齐一点	然后户型也很不错的
0	还能不能便宜了	你想看这套房源吗
0	您好，请问这个房子周边有哪些学校	特别是龙祥苑，位于购物中心旁，那边的房子是最好出手的
0	好的，这个房子还有空间吗	这个小区之前成交的东南向都是1500+，您可以查下我们链家的成交记录
1	这个房子能贷款吗？	暂时没办法贷款
0	能约吗	给您发送那么多套房子？您说的是哪一套？
1	增值税多少	差额增值税10.1万左右
1	能大谈吗	不能
0	能看看吗	您好
0	大约多钱的稅？	嗯，行，我刚刚问了问房主税的事。
1	在什么位置的	这套房子在4楼，您希望楼层高一点还是低一点
0	这套房源价格还有优惠空间吗？	首套还是二套呢
0	这房子满几了	79万
0	您好，请问这个房子周边有哪些学校？	1期的不考虑吗？
1	什么时候能够看房呢？	你什么时候有空？
0	你好，这个小区带什么学校？	小区位于北二环 积水潭
0	户型怎么样	我带您看一下这套房子的户型吧，如果你喜欢这套房子的户型，然后我再给你找好一点楼层的。
0	什么时候能够看房呢？	您好
0	有增值税吗？	如果没有那就按首套算
0	户型	主要想买多大平方的房子
0	这个房子是毛坯对吗	现在把套二完全排除了？
0	新修的学校嘛	留个联系方式？
0	哪里？	双龙新区
0	那天你说还有一套可以带我看的房子	你要看ve?
1	什么时候能够看房呢？	这个房子有钥匙的
0	有大税吗	学区不错呢
0	毛坯吗	首付最低三成
0	有税吗	你这边什么时间方便我们先过来看一下房子
0	大型商场什么的	还在易世达
0	也没什么要求，就是户型方正就行，别靠路	嗯 您电话多少 有合适的 我发给您您看一下
0	这个是不是一期的	我们收各收1%的佣金
1	那个税能解决吗	满二年的房子肯定有个税啊，跟离婚没关系
1	看他能降到多少了	我跟他说让他挂95万，他感觉价格可能稍低一点
0	180能卖哇	好吧
0	你就说最低多钱，可以的话可以直接定	 这个差的有点远
0	第二个是边户还是中间户	业主年前挂出来说年后可以看房的
1	满二，怎么出税的呢？	和正常商品房小区都一样，满二没有增值税。满五唯一没有个税。碰到原值特别高的个税少
1	一次性也不同意？	对的  她很犟的
0	25000一平有可能吗？	16年了，
0	哪里哦	天立的小区环境都很好。。你是觉得它哪里不好呢？
0	首付多少	这个房子公积金可以贷45万
0	您好，我正在看铂金时代的房子	暂时还不能，土地出让金还交不了
1	请问这个房子还有得谈吗？	还可以谈的呀，
0	您好，请问这个房子周边有哪些学校？	您是考虑学区房么
1	可以贷款？	可以贷款
0	能给看下这个房子不	您好老师
0	这个是毛坯还是装修后的？	25楼的
0	赠家具、家电？赠地下室吗？	家具家电得和房主协商
0	周边有什么配套啊	好的
0	可以按揭吗	首付3成，15万这个样子
1	有税吗？	有
0	上次那个房子现在可以看吗	好
0	明天可以看吗？	看房的话没问题
1	价格可谈么	可以
0	看房子吧	心里预算多少钱
1	105以内能谈？	目前业主是说115万净得，之前跟业主沟通通过
0	香雪兰溪那套房能看吗？	我一会再让他给您联系
0	什么时候过二	奥奥，我以为你知道西山来看过呢
0	价格可谈吗	暂时没有
0	沿街吗	那个房子总高17在14楼
0	付款方式需要好么	所以你找个正常首付3.5成或者7成的客户来买你的房子呀
1	方便看房子么	方便
0	这套房源价格还有优惠空间吗？	你好
1	能看吗	明天上午
0	不要求配套	那有问题您在联系我
0	这户型哪不好	随时可以看房
0	这套装修怎么样的	对，稍等我发两套给你看
1	可以看吗	可以哦
1	什么时候能够看房呢？	下午房东都可以
0	过两年了吗	NAMEPHONE这是我的电话，也是微信号，随时联系。
1	可以看看吗？	可以看房
0	您好，我正在看碧海方舟的房子	您说一下
0	这样，这个周末我有时间，可以先去看看房吗	好👌
0	能看吗？	又打了两个没人接。 要不然 打通以后再约时间。在通知您。
0	什么时候能够看房呢？	您好
0	有证么？	朝向也好，朝南的
0	临街三层吧？	对
1	底价多少	您要是看好了，到时候确定想买，咱们直接约房东谈
1	下午有时间可以看房不？	我先带你线上看
0	配套的小学呢	济微中学
0	离地铁口近点的，然后附近有公园，学校的，小区相对而言年限近点的	您的号码多少我记一下，稍后加您微信，给您发送一下位置和路线，
1	房东包增值税吗	刚问了房东，不包
0	那个采光临街都有问题	有的，我给你甄选一下发给您
0	这个房子怎么付款的	?
0	你说的这个地下能见到阳光吗	有天井
0	有大税么	    一手房您考虑麽？
1	周边环境如何	环境还好
0	刚下证？	三期有证啊
1	在哪	彭刘杨路
0	商贷公积金都可以吗	没有，因为房主白天一般不在家
0	什么时候能够看房呢？	您稍等一下哈
0	过两年了吗	契税是和买方有关的，这套房首套1%
1	能看吗？	可以看的
0	三期的是吧？	你看了也蛮多房子了，都觉得不合适吗？
1	英才有小学？	是的  还有幼儿园
1	可以按揭吗？	这个才刚接房，暂时还不可以
1	装修了吗？	嗯，装修过的
0	没下房本呢是吧	是的 
0	首付不是三成吗	您留个联系方式给我吧
0	什么学区	是的，有朝南的在售的
1	有税吗	没有增值税
0	这套房源价格还有优惠空间吗？	您好
1	一般什么时候满两年	有套中间套3房的满二年
0	您好，我正在看梧桐公馆的房子	对。小面积的都不通气
0	其他费用还有哪些？还有议价空间吗？	还有的
0	几楼 挡光吗	您这考虑一个三居吗
0	满几	这边房价低 和不满二也是有关系的 是个大税
0	什么时候能够看房呢？	您好
1	看房吧	好的
1	毛坯怎么有家具	都是新家具，但是没有装
0	有大税么	房主的意思是看好都能商量?
0	大税得多少钱	2018年的
1	哪里的	青白江的
0	明天看房方便吗	留个号码 到时候好联系
1	您好，请问这套房源首付是多少？	这就是您看的那套135万的
0	84栋？在电线那边？	都从
0	这个是几期	您要投资吗？
